repo,file_path,total_commits,commits_last_30d,commits_last_90d,days_since_last_change,unique_authors,top_owner_pct,avg_lines_added,avg_lines_deleted,max_lines_changed,bug_fix_count,bug_fix_rate,days_since_last_bugfix,file_age_days,avg_nloc,is_buggy
cli,extras/packaging/linux/Dockerfile,2,2,2,1542,1,1.0,16.5,0.0,32,0,0.0,9999,21,,0
cli,extras/packaging/linux/README.md,3,1,1,1085,3,0.3333333333333333,18.666666666666668,1.3333333333333333,52,1,0.3333333333333333,1562,478,,1
cli,extras/packaging/linux/build.py,3,2,3,1531,1,1.0,37.0,0.6666666666666666,100,0,0.0,9999,32,83.0,0
cli,extras/packaging/linux/get_release_artifacts.sh,1,1,1,1563,1,1.0,22.0,0.0,22,0,0.0,9999,0,,0
cli,extras/packaging/linux/scripts/hooks/hook-pip.py,1,1,1,1563,1,1.0,14.0,0.0,14,0,0.0,9999,0,13.0,0
cli,extras/packaging/linux/scripts/http_cli.py,1,1,1,1563,1,1.0,5.0,0.0,5,0,0.0,9999,0,4.0,0
cli,extras/packaging/linux/scripts/httpie_cli.py,1,1,1,1563,1,1.0,5.0,0.0,5,0,0.0,9999,0,4.0,0
cli,extras/profiling/README.md,14,1,1,1085,4,0.7857142857142857,5.285714285714286,2.5,30,4,0.2857142857142857,1498,558,,1
cli,extras/profiling/benchmarks.py,5,1,2,1394,4,0.4,41.6,1.2,203,3,0.6,1394,290,112.2,1
cli,extras/profiling/run.py,3,1,1,1085,3,0.3333333333333333,97.66666666666667,2.0,287,1,0.3333333333333333,1498,599,192.0,1
cli,extras/scripts/generate_man_pages.py,4,1,1,1160,2,0.5,53.75,6.75,156,2,0.5,1542,403,130.25,1
cli,httpie-completion.bash,2,1,1,4048,2,0.5,18.0,6.5,27,0,0.0,9999,93,,0
cli,httpie-completion.fish,1,1,1,3762,1,1.0,60.0,0.0,60,0,0.0,9999,0,,0
cli,httpie.gif,1,1,1,2730,1,1.0,0.0,0.0,0,0,0.0,9999,0,,0
cli,httpie.png,9,1,1,1783,2,0.7777777777777778,0.0,0.0,0,1,0.1111111111111111,4179,3481,,1
cli,httpie/__init__.py,106,1,1,631,4,0.8207547169811321,1.3584905660377358,1.2735849056603774,20,15,0.14150943396226415,746,4633,7.933333333333334,1
cli,httpie/__main__.py,40,1,2,1814,9,0.625,8.5,13.45,202,8,0.2,5118,3443,87.97435897435898,1
cli,httpie/adapters.py,1,1,1,1704,1,1.0,13.0,0.0,13,0,0.0,9999,0,7.0,0
cli,httpie/cli.py,117,7,7,2521,18,0.7521367521367521,14.52991452991453,8.555555555555555,437,27,0.23076923076923078,2523,2736,351.8205128205128,1
cli,httpie/cli/__init__.py,1,1,1,2521,1,1.0,0.0,0.0,0,0,0.0,9999,0,,0
cli,httpie/cli/argparser.py,39,2,6,1542,6,0.41025641025641024,19.512820512820515,3.58974358974359,387,13,0.3333333333333333,1563,978,319.4102564102564,1
cli,httpie/cli/argtypes.py,15,1,2,1608,3,0.6,23.8,5.466666666666667,180,3,0.2,1753,913,137.6,1
cli,httpie/cli/constants.py,27,1,2,1510,5,0.48148148148148145,6.814814814814815,1.8518518518518519,102,5,0.18518518518518517,1675,1010,83.74074074074075,1
cli,httpie/cli/definition.py,55,1,3,1085,6,0.43636363636363634,17.30909090909091,12.636363636363637,537,15,0.2727272727272727,1163,1435,627.8,1
cli,httpie/cli/dicts.py,7,1,1,1394,2,0.5714285714285714,15.428571428571429,2.0,53,1,0.14285714285714285,1575,1126,35.0,1
cli,httpie/cli/exceptions.py,1,1,1,2521,1,1.0,2.0,0.0,2,0,0.0,9999,0,2.0,0
cli,httpie/cli/json_form.py,1,1,1,1696,1,1.0,150.0,0.0,150,1,1.0,1696,0,110.0,1
cli,httpie/cli/nested_json.py,8,1,1,1510,2,0.875,58.75,8.25,311,1,0.125,1636,154,274.25,1
cli,httpie/cli/nested_json/__init__.py,1,1,1,1394,1,1.0,20.0,0.0,20,0,0.0,9999,0,10.0,0
cli,httpie/cli/nested_json/errors.py,1,1,1,1394,1,1.0,27.0,0.0,27,0,0.0,9999,0,23.0,0
cli,httpie/cli/nested_json/interpret.py,1,1,1,1394,1,1.0,129.0,0.0,129,0,0.0,9999,0,107.0,0
cli,httpie/cli/nested_json/parse.py,1,1,1,1394,1,1.0,193.0,0.0,193,0,0.0,9999,0,151.0,0
cli,httpie/cli/nested_json/tokens.py,1,1,1,1394,1,1.0,80.0,0.0,80,0,0.0,9999,0,62.0,0
cli,httpie/cli/options.py,3,2,3,1542,1,1.0,90.33333333333333,7.333333333333333,189,2,0.6666666666666666,1542,58,177.66666666666666,1
